EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -22001467.524444  15028327.437245        0.000000 || 20466599.827752  -15393952.256171   7352531.823499 ||        0.280006        -0.644876  20267725.207016 
 -22066810.659720  14932663.554931        0.000000 || 20453811.075663  -15368306.375956   7442133.105001 ||        0.283508        -0.644375  20268016.091458 
 -22131735.293277  14836716.471490        0.000000 || 20440845.142257  -15342386.249051   7531593.244612 ||        0.287009        -0.643869  20268305.786730 
 -22196240.205590  14740488.014478        0.000000 || 20427703.423166  -15316191.478879   7620910.549713 ||        0.290507        -0.643357  20268594.285081 
 -22260324.185086  14643980.016637        0.000000 || 20414387.318143  -15289721.678793   7710083.330463 ||        0.294004        -0.642840  20268881.578760 
 -22323986.028167  14547194.315854        0.000000 || 20400898.230999  -15262976.472099   7799109.899827 ||        0.297498        -0.642317  20269167.660016 
 -22387224.539229  14450132.755133        0.000000 || 20387237.569539  -15235955.492077   7887988.573612 ||        0.300990        -0.641789  20269452.521098 
 -22450038.530682  14352797.182555        0.000000 || 20373406.745495  -15208658.382005   7976717.670493 ||        0.304480        -0.641255  20269736.154256 
 -22512426.822976  14255189.451247        0.000000 || 20359407.174468  -15181084.795177   8065295.512047 ||        0.307967        -0.640714  20270018.551739 
 -22574388.244616  14157311.419348        0.000000 || 20345240.275859  -15153234.394931   8153720.422781 ||        0.311453        -0.640168  20270299.705800 
 -22635921.632186  14059164.949969        0.000000 || 20330907.472806  -15125106.854663   8241990.730164 ||        0.314936        -0.639616  20270579.608692 
 -22697025.830370  13960751.911163        0.000000 || 20316410.192119  -15096701.857854   8330104.764657 ||        0.318417        -0.639057  20270858.252670 
 -22757699.691970  13862074.175891        0.000000 || 20301749.864216  -15068019.098084   8418060.859744 ||        0.321895        -0.638492  20271135.629993 
 -22817942.077927  13763133.621982        0.000000 || 20286927.923059  -15039058.279056   8505857.351962 ||        0.325371        -0.637921  20271411.732919 
 -22877751.857344  13663932.132102        0.000000 || 20271945.806087  -15009819.114615   8593492.580931 ||        0.328845        -0.637344  20271686.553712 
 -22937127.907502  13564471.593717        0.000000 || 20256804.954152  -14980301.328764   8680964.889384 ||        0.332316        -0.636760  20271960.084638 
 -22996069.113880  13464753.899058        0.000000 || 20241506.811454  -14950504.655687   8768272.623197 ||        0.335785        -0.636169  20272232.317967 
 -23054574.370179  13364780.945088        0.000000 || 20226052.825476  -14920428.839760   8855414.131422 ||        0.339252        -0.635572  20272503.245972 
 -23112642.578337  13264554.633461        0.000000 || 20210444.446918  -14890073.635579   8942387.766313 ||        0.342716        -0.634968  20272772.860931 
 -23170272.648549  13164076.870494        0.000000 || 20194683.129630  -14859438.807966   9029191.883358 ||        0.346177        -0.634357  20273041.155127 
 -23227463.499288  13063349.567125        0.000000 || 20178770.330551  -14828524.131995   9115824.841309 ||        0.349636        -0.633739  20273308.120847 
 -23284214.057325  12962374.638882        0.000000 || 20162707.509637  -14797329.393001   9202285.002210 ||        0.353092        -0.633115  20273573.750384 
 -23340523.257742  12861154.005844        0.000000 || 20146496.129802  -14765854.386602   9288570.731431 ||        0.356545        -0.632483  20273838.036035 
 -23396390.043959  12759689.592607        0.000000 || 20130137.656845  -14734098.918711   9374680.397692 ||        0.359996        -0.631844  20274100.970105 
 -23451813.367746  12657983.328248        0.000000 || 20113633.559389  -14702062.805552   9460612.373099 ||        0.363444        -0.631197  20274362.544904 
 -23506792.189244  12556037.146288        0.000000 || 20096985.308813  -14669745.873674   9546365.033167 ||        0.366889        -0.630544  20274622.752749 
 -23561325.476985  12453852.984658        0.000000 || 20080194.379186  -14637147.959966   9631936.756855 ||        0.370332        -0.629882  20274881.585965 
 -23615412.207905  12351432.785662        0.000000 || 20063262.247202  -14604268.911671   9717325.926591 ||        0.373771        -0.629214  20275139.036883 
 -23669051.367370  12248778.495940        0.000000 || 20046190.392110  -14571108.586400   9802530.928307 ||        0.377208        -0.628537  20275395.097841 
 -23722241.949185  12145892.066433        0.000000 || 20028980.295651  -14537666.852141   9887550.151462 ||        0.380642        -0.627853  20275649.761187 
 -23774982.955617  12042775.452347        0.000000 || 20011633.441990  -14503943.587278   9972381.989076 ||        0.384073        -0.627161  20275903.019276 
 -23827273.397414  11939430.613114        0.000000 || 19994151.317649  -14469938.680596  10057024.837757 ||        0.387501        -0.626461  20276154.864472 
 -23879112.293817  11835859.512361        0.000000 || 19976535.411442  -14435652.031298  10141477.097729 ||        0.390926        -0.625753  20276405.289149 
 -23930498.672581  11732064.117867        0.000000 || 19958787.214406  -14401083.549014  10225737.172864 ||        0.394348        -0.625037  20276654.285689 
 -23981431.569991  11628046.401531        0.000000 || 19940908.219734  -14366233.153813  10309803.470711 ||        0.397767        -0.624313  20276901.846485 
 -24031910.030879  11523808.339335        0.000000 || 19922899.922712  -14331100.776211  10393674.402522 ||        0.401183        -0.623580  20277147.963940 
 -24081933.108642  11419351.911305        0.000000 || 19904763.820647  -14295686.357183  10477348.383281 ||        0.404595        -0.622839  20277392.630466 
 -24131499.865256  11314679.101477        0.000000 || 19886501.412801  -14259989.848172  10560823.831736 ||        0.408005        -0.622090  20277635.838488 
 -24180609.371296  11209791.897858        0.000000 || 19868114.200326  -14224011.211097  10644099.170425 ||        0.411411        -0.621332  20277877.580441 
 -24229260.705947  11104692.292391        0.000000 || 19849603.686197  -14187750.418364  10727172.825707 ||        0.414814        -0.620565  20278117.848773 
 -24277452.957028  10999382.280917        0.000000 || 19830971.375141  -14151207.452871  10810043.227787 ||        0.418213        -0.619789  20278356.635941 
 -24325185.221000  10893863.863139        0.000000 || 19812218.773573  -14114382.308019  10892708.810747 ||        0.421610        -0.619005  20278593.934417 
 -24372456.602986  10788139.042582        0.000000 || 19793347.389526  -14077274.987716  10975168.012575 ||        0.425003        -0.618212  20278829.736686 
 -24419266.216787  10682209.826561        0.000000 || 19774358.732589  -14039885.506388  11057419.275191 ||        0.428392        -0.617409  20279064.035243 
 -24465613.184896  10576078.226140        0.000000 || 19755254.313831  -14002213.888981  11139461.044478 ||        0.431778        -0.616597  20279296.822601 
 -24511496.638514  10469746.256094        0.000000 || 19736035.645742  -13964260.170970  11221291.770306 ||        0.435161        -0.615776  20279528.091282 
 -24556915.717566  10363215.934878        0.000000 || 19716704.242160  -13926024.398362  11302909.906566 ||        0.438540        -0.614946  20279757.833825 
 -24601869.570714  10256489.284581        0.000000 || 19697261.618205  -13887506.627705  11384313.911193 ||        0.441915        -0.614106  20279986.042783 
 -24646357.355374  10149568.330894        0.000000 || 19677709.290211  -13848706.926089  11465502.246196 ||        0.445287        -0.613256  20280212.710723 
 -24690378.237731  10042455.103073        0.000000 || 19658048.775661  -13809625.371153  11546473.377686 ||        0.448655        -0.612397  20280437.830230 
 -24733931.392750   9935151.633899        0.000000 || 19638281.593114  -13770262.051085  11627225.775904 ||        0.452019        -0.611527  20280661.393901 
 -24777016.004197   9827659.959642        0.000000 || 19618409.262144  -13730617.064630  11707757.915248 ||        0.455380        -0.610648  20280883.394352 
 -24819631.264645   9719982.120020        0.000000 || 19598433.303266  -13690690.521091  11788068.274301 ||        0.458737        -0.609759  20281103.824213 
 -24861776.375495   9612120.158169        0.000000 || 19578355.237872  -13650482.540329  11868155.335857 ||        0.462090        -0.608860  20281322.676133 
 -24903450.546988   9504076.120596        0.000000 || 19558176.588163  -13609993.252771  11948017.586953 ||        0.465439        -0.607950  20281539.942776 
 -24944652.998217   9395852.057149        0.000000 || 19537898.877079  -13569222.799404  12027653.518891 ||        0.468784        -0.607030  20281755.616825 
 -24985382.957144   9287450.020973        0.000000 || 19517523.628233  -13528171.331783  12107061.627268 ||        0.472125        -0.606100  20281969.690980 
 -25025639.660608   9178872.068477        0.000000 || 19497052.365845  -13486839.012028  12186240.412005 ||        0.475462        -0.605159  20282182.157960 
 -25065422.354345   9070120.259294        0.000000 || 19476486.614669  -13445226.012826  12265188.377371 ||        0.478795        -0.604207  20282393.010502 
 -25104730.292997   8961196.656242        0.000000 || 19455827.899931  -13403332.517429  12343904.032010 ||        0.482124        -0.603245  20282602.241363 
 -25143562.740127   8852103.325287        0.000000 || 19435077.747258  -13361158.719655  12422385.888971 ||        0.485449        -0.602271  20282809.843319 
 -25181918.968229   8742842.335508        0.000000 || 19414237.682609  -13318704.823887  12500632.465734 ||        0.488770        -0.601287  20283015.809164 
 -25219798.258746   8633415.759051        0.000000 || 19393309.232211  -13275971.045072  12578642.284235 ||        0.492086        -0.600291  20283220.131714 
 -25257199.902076   8523825.671100        0.000000 || 19372293.922489  -13232957.608716  12656413.870895 ||        0.495398        -0.599284  20283422.803806 
 -25294123.197590   8414074.149833        0.000000 || 19351193.279998  -13189664.750886  12733945.756643 ||        0.498706        -0.598266  20283623.818296 
 -25330567.453640   8304163.276383        0.000000 || 19330008.831356  -13146092.718206  12811236.476949 ||        0.502009        -0.597236  20283823.168064 
 -25366531.987576   8194095.134805        0.000000 || 19308742.103176  -13102241.767849  12888284.571845 ||        0.505308        -0.596195  20284020.846007 
 -25402016.125753   8083871.812035        0.000000 || 19287394.621998  -13058112.167543  12965088.585953 ||        0.508603        -0.595142  20284216.845050 
 -25437019.203543   7973495.397847        0.000000 || 19265967.914222  -13013704.195557  13041647.068512 ||        0.511893        -0.594077  20284411.158136 
 -25471540.565354   7862967.984823        0.000000 || 19244463.506041  -12969018.140703  13117958.573405 ||        0.515178        -0.593000  20284603.778232 
 -25505579.564629   7752291.668308        0.000000 || 19222882.923370  -12924054.302330  13194021.659182 ||        0.518458        -0.591911  20284794.698328 
 -25539135.563870   7641468.546374        0.000000 || 19201227.691784  -12878812.990314  13269834.889091 ||        0.521734        -0.590809  20284983.911439 
 -25572207.934640   7530500.719782        0.000000 || 19179499.336443  -12833294.525061  13345396.831100 ||        0.525006        -0.589696  20285171.410603 
 -25604796.057579   7419390.291941        0.000000 || 19157699.382034  -12787499.237490  13420706.057923 ||        0.528272        -0.588570  20285357.188881 
 -25636899.322411   7308139.368872        0.000000 || 19135829.352692  -12741427.469037  13495761.147049 ||        0.531533        -0.587431  20285541.239360 
 -25668517.127959   7196750.059167        0.000000 || 19113890.771945  -12695079.571640  13570560.680764 ||        0.534790        -0.586280  20285723.555153 
 -25699648.882152   7085224.473954        0.000000 || 19091885.162637  -12648455.907735  13645103.246182 ||        0.538042        -0.585115  20285904.129396 
 -25730294.002036   6973564.726851        0.000000 || 19069814.046864  -12601556.850247  13719387.435263 ||        0.541288        -0.583938  20286082.955254 
 -25760451.913788   6861772.933935        0.000000 || 19047678.945907  -12554382.782582  13793411.844845 ||        0.544530        -0.582748  20286260.025915 
 -25790122.052719   6749851.213700        0.000000 || 19025481.380166  -12506934.098620  13867175.076667 ||        0.547766        -0.581544  20286435.334595 
